English,Urdu
حصہ,part
تاریخ,history
تلاش,search
صرف,only
پولیس,police
سوچا,thought
مدد,help
درخواست,request
قسم,kind
مہینہ,month
بھائی,brother
دو,let
کیونکہ,because
رکھنا,to put
نہیں,no
پٹا,leash
انہیں,them
شہر,city
ہر ایک,each
بولیں,speak
آو,come
چاہئے,should
بچه,baby
طویل وقت,long time
گھنٹے,hours
مرضی,will
جبکہ,while
ایک بار پھر ملیں,meet again
کوئی بھی,any
مربع,square
بولیں,speak
سمجھا,understood
جانتا تھا,knew
تھے,were
انتباہ,Warning
یہاں ہے,here is
کر سکتا ہے,could
معاملہ,case
دے,give
قسم,type
ان کا,their
دیئے گئے,given
ٹرین,train
جسم,body
جگہ,place
آنکھیں,eyes
طریقہ,way
سنو,listen
کس کا,whose
مل,find
پہلا,first
کھو دیا,lost
ہاتھ,hand
پہلا,first
طرف,side
طاقت,power
بوڑھا,old
بنے,be
یہاں,here
صبح,morning
بہت کچھ,so much
بچہ,child
نقطہ,point
آیا,came
کے بعد,after
معذرت,sorry
آو,come
کے سامنے,in front of
کی طرف,towards
منٹ,minutes
درخواست,request
بیڈروم,bedroom
رکھا,placed
خوبصورت,beautiful
قانون,law
پسند کریں گے,would like to
آج,today
شوہر,husband
وجہ,cause
آخر میں,finally
امید ہے,hope
پانی,water
انتظار کرو,Wait
بائیں,left
نئی,new
نوکری,job
بند کرو,Stop
کہوں گا,would say
زمین,Earth
کھاتہ,account
دیئے گئے,given
دور,far
آخر,end
یقین,believe
پیاری,sweetheart
بڑا,large
بلکہ,rather
پڑے گا,will have
لڑکیاں,girls
کھیلنا,to play
دفتر,office